Company,Services company,Product based,Fintech,Big Bank,Foreign companies,Edtech,A.I.,Marketplace
http://linkedin.com/company/ansr-,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/ansrsource,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://www.linkedin.com/company/anthem,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://linkedin.com/company/anvizent,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://linkedin.com/company/appnit-technologies,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/appsmith/about,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/aptcoder/,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/arcturus-business-solutions,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/areysun-online-private-limited,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/armorbloxinc,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://www.linkedin.com/company/artem-energy-future,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/arthmate,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/artivatic,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/asadeltech,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/ashoka-university,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/assetplus,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/assurekit/about,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/o-tree-solutions-private-limited,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/aurea-software,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://linkedin.com/company/authlinkproject,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/autogenerate-ai,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://linkedin.com/company/automaxis,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/avekshaa-technologies/about,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/aviso-inc,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://linkedin.com/company/avrio-energy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://linkedin.com/company/awiros,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/axcend-automation-and-software-solutions,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://www.linkedin.com/company/axess-ai/,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://linkedin.com/company/ayu-health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/b2r-technologies-pvt-ltd,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/babblebots,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/baazapp,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/bamboobox,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/bankbuddyai,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/bdbai,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://linkedin.com/company/be-u-salons,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/mobstac,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
http://linkedin.com/company/beepkart/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
https://in.linkedin.com/company/being-a-mental-health-friend,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://linkedin.com/company/bentchair,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
http://www.linkedin.com/company/betterbutter,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
https://linkedin.com/company/beyondskool,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
